
# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
# N 	 M 	 nx 	 ny 	 steps 	 iterations
2 	 2 	 1024 	 1024 	 100 	 10

# Mean 	 Sdev 	 Rank 0
5590	 465	 6034	 4945	 6031	 5350
5778	 290	 6081	 5500	 6055	 5476
4244	 346	 4544	 3775	 4584	 4076
4112	 293	 4488	 3855	 4299	 3807
3943	 249	 4212	 3700	 4173	 3687
4030	 309	 4326	 3615	 4313	 3868
3852	 237	 4092	 3600	 4086	 3630
3853	 254	 4113	 3594	 4079	 3629
3886	 234	 4104	 3705	 4110	 3628
3883	 261	 4172	 3616	 4100	 3646
3862	 258	 4126	 3601	 4092	 3632
3933	 265	 4285	 3740	 4086	 3621
4063	 346	 4572	 3972	 4089	 3621
4062	 343	 4559	 3951	 4110	 3631
4117	 359	 4632	 4082	 4114	 3643
4106	 360	 4636	 4082	 4080	 3627
3877	 257	 4166	 3619	 4093	 3631
3886	 267	 4153	 3609	 4131	 3654
4203	 293	 4565	 3911	 4412	 3925
3889	 253	 4155	 3628	 4122	 3652
3896	 271	 4182	 3630	 4138	 3636
3865	 235	 4118	 3630	 4082	 3630
3912	 246	 4171	 3686	 4145	 3646
3878	 268	 4185	 3639	 4081	 3610
3815	 248	 4089	 3608	 4026	 3538
3832	 254	 4136	 3614	 4029	 3549
3819	 259	 4123	 3612	 4002	 3542
3847	 261	 4144	 3623	 4046	 3578
3806	 246	 4053	 3576	 4037	 3560
3835	 296	 4056	 3563	 4181	 3543
3741	 220	 3943	 3529	 3980	 3512
3767	 254	 4023	 3525	 3998	 3525
3757	 264	 4035	 3480	 3993	 3522
4005	 345	 4319	 3507	 4336	 3858
4068	 394	 4423	 3487	 4432	 3931
3982	 335	 4284	 3509	 4306	 3830
3966	 346	 4259	 3465	 4301	 3841
3852	 316	 4205	 3488	 4111	 3606
3831	 316	 4187	 3467	 4088	 3584
3876	 343	 4168	 3483	 4259	 3595
3705	 299	 3956	 3297	 4001	 3569
3757	 329	 4067	 3295	 4072	 3594
3748	 350	 4050	 3246	 4087	 3611
3884	 425	 4247	 3240	 4273	 3778
3696	 330	 4070	 3281	 3965	 3468
3624	 278	 3880	 3281	 3909	 3427
3651	 248	 3888	 3412	 3890	 3417
3781	 282	 4165	 3680	 3878	 3402
3735	 279	 4094	 3547	 3887	 3415
3896	 321	 4240	 3809	 4125	 3410
3819	 335	 4293	 3808	 3808	 3370
3656	 262	 3922	 3402	 3894	 3409
3637	 261	 3903	 3373	 3874	 3401
3623	 253	 3878	 3383	 3854	 3380
3638	 250	 3915	 3390	 3860	 3387
3602	 248	 3863	 3360	 3815	 3373
3593	 237	 3792	 3361	 3845	 3377
3637	 247	 3901	 3407	 3860	 3381
3628	 266	 3908	 3367	 3860	 3380
3802	 252	 4088	 3651	 3979	 3493
3644	 267	 3934	 3388	 3867	 3390
3624	 239	 3862	 3379	 3857	 3399
3638	 258	 3902	 3358	 3890	 3402
3756	 302	 4033	 3388	 4063	 3542
3905	 377	 4253	 3353	 4256	 3758
3758	 318	 4079	 3347	 4037	 3572
3849	 358	 4203	 3335	 4166	 3692
3922	 384	 4282	 3362	 4251	 3796
3608	 240	 3838	 3363	 3845	 3388
3752	 279	 4127	 3533	 3904	 3445
3596	 236	 3831	 3344	 3834	 3375
3622	 273	 3939	 3334	 3847	 3368
3580	 259	 3826	 3279	 3842	 3374
3592	 271	 3862	 3290	 3849	 3369
3570	 278	 3845	 3237	 3833	 3367
3593	 298	 3923	 3238	 3844	 3368
3586	 322	 3918	 3169	 3869	 3390
3517	 271	 3802	 3188	 3768	 3310
3503	 291	 3802	 3167	 3763	 3283
3511	 280	 3791	 3186	 3769	 3301
3522	 262	 3937	 3326	 3543	 3283
3671	 279	 4050	 3599	 3751	 3285
3624	 265	 3963	 3504	 3755	 3276
3760	 356	 4269	 3748	 3748	 3277
3680	 287	 4077	 3668	 3702	 3274
3503	 240	 3737	 3274	 3730	 3274
3476	 241	 3710	 3231	 3718	 3246
3483	 235	 3714	 3248	 3717	 3254
3475	 249	 3793	 3283	 3624	 3202
3495	 249	 3758	 3246	 3716	 3262
3654	 405	 4209	 3292	 3875	 3240
3538	 312	 4033	 3376	 3521	 3225
5662	 316	 6088	 5418	 5817	 5327
3429	 248	 3732	 3228	 3605	 3152
3500	 244	 3782	 3276	 3696	 3247
3506	 241	 3748	 3255	 3746	 3275
3838	 400	 4221	 3254	 4191	 3687
3662	 343	 3996	 3201	 3968	 3486
3784	 402	 4161	 3182	 4131	 3663
3424	 169	 3565	 3146	 3519	 3467
Total runtime = 1.15858s
total 3.2G
drwxr-xr-x. 2 kduwe iks    7 Aug  5 21:05 .
drwxr-xr-x. 5 kduwe iks    5 Aug  5 21:05 ..
-rw-r--r--. 1 kduwe iks 809M Aug  5 21:05 data.0
-rw-r--r--. 1 kduwe iks 809M Aug  5 21:05 data.1
-rw-r--r--. 1 kduwe iks 809M Aug  5 21:05 data.2
-rw-r--r--. 1 kduwe iks 809M Aug  5 21:05 data.3
-rw-r--r--. 1 kduwe iks  60K Aug  5 21:05 md.0
-rw-r--r--. 1 kduwe iks 6.4K Aug  5 21:05 md.idx
-rw-r--r--. 1 kduwe iks 1.4K Aug  5 21:05 profiling.json

# --- Write time in mikroseconds ---
# configfile: mein-adios-fork/examples/heatTransfer/heat_bp4_sync.xml
# outputfile: /home/urz/kduwe/ht-output/heat-bp4-4nodes.bp
# MPI_Comm_size: 4
